Time step	Selfconsistency	Newton left (sum)	Newton electrolyte (sum)	Newton right (sum)	KSP left (sum)	KSP electrolyte (sum)	KSP right (sum)	Newton left (max)	Newton electrolyte (max)	Newton right (max)	KSP left (max)	KSP electrolyte (max)	KSP right (max)
0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	7	28	28	35	123	112	112	4	4	5	9	5	4
2	3	12	12	14	94	57	251	4	4	5	32	5	123
3	3	12	12	12	91	56	181	4	4	4	33	5	62
4	3	12	12	12	87	58	128	4	4	4	33	5	35
5	3	12	12	15	102	59	142	4	4	5	33	6	37
6	3	12	12	15	103	63	168	4	4	5	33	6	63
7	3	12	12	15	103	65	138	4	4	5	33	6	33
8	3	12	12	15	76	66	134	4	4	5	33	6	33
9	4	16	16	20	82	82	175	4	4	5	33	6	33
10	4	16	16	20	100	88	149	4	4	5	33	6	33
11	4	16	16	20	82	88	101	4	4	5	33	6	33
12	5	20	20	25	94	115	113	4	4	5	33	6	32
13	4	16	16	16	81	89	85	4	4	4	33	6	33
14	4	16	16	16	73	88	80	4	4	4	21	6	32
15	3	12	12	12	59	67	72	4	4	4	17	6	33
16	3	12	12	12	70	66	83	4	4	4	18	6	33
17	3	12	12	12	82	66	132	4	4	4	33	6	33
18	3	12	12	12	129	66	129	4	4	4	33	6	33
19	3	12	12	12	101	66	129	4	4	4	33	6	33
20	3	12	12	12	73	66	129	4	4	4	33	6	33
21	3	12	12	12	58	67	129	4	4	4	15	7	33
22	3	12	12	12	58	66	105	4	4	4	13	6	33
23	3	12	12	12	59	63	129	4	4	4	12	6	33
24	3	12	12	12	46	63	81	4	4	4	6	6	33
25	3	12	12	12	49	63	110	4	4	4	7	7	32
26	3	12	12	12	48	63	97	4	4	4	5	7	33
27	3	12	12	12	96	63	129	4	4	4	32	7	33
28	3	12	12	12	45	62	128	4	4	4	5	6	33
29	3	12	12	12	71	62	103	4	4	4	32	7	33
30	3	12	12	12	71	63	66	4	4	4	32	7	33
31	3	12	12	12	47	61	70	4	4	4	7	6	33
32	3	12	12	12	51	63	68	4	4	4	8	6	33
33	3	12	12	12	85	63	127	4	4	4	32	6	33
34	3	12	12	12	91	63	93	4	4	4	32	6	32
35	3	12	12	12	49	63	63	4	4	4	9	7	26
36	3	12	12	12	52	60	63	4	4	4	15	6	22
37	3	12	12	12	41	60	66	4	4	4	5	6	32
38	3	12	12	12	43	62	36	4	4	4	5	7	4
39	3	12	12	12	44	61	40	4	4	4	6	7	8
40	3	12	12	12	43	61	47	4	4	4	5	7	14
41	3	12	12	12	70	60	36	4	4	4	32	6	4
42	3	12	12	12	71	60	44	4	4	4	32	6	12
43	3	12	12	12	47	60	36	4	4	4	7	6	4
44	3	12	12	12	45	60	36	4	4	4	5	6	4
45	3	12	12	12	48	57	37	4	4	4	8	5	5
46	3	12	12	12	89	57	36	4	4	4	25	5	4
47	3	12	12	12	46	58	36	4	4	4	6	6	4
48	3	12	12	12	45	57	39	4	4	4	5	5	4
49	3	12	12	12	66	58	39	4	4	4	26	6	4
50	3	12	12	12	46	59	39	4	4	4	6	6	4
51	3	12	12	12	55	60	39	4	4	4	15	6	4
52	3	12	12	12	45	60	39	4	4	4	5	6	4
53	3	12	12	12	54	60	39	4	4	4	15	6	4
54	3	12	12	12	44	60	39	4	4	4	5	6	4
55	4	16	16	16	57	80	52	4	4	4	5	6	4
56	4	16	16	16	62	80	56	4	4	4	10	6	4
57	4	16	16	16	85	84	56	4	4	4	33	7	4
58	4	16	16	16	74	84	52	4	4	4	22	7	4
59	4	16	16	16	63	84	55	4	4	4	7	7	7
60	4	16	16	16	63	83	57	4	4	4	7	7	5
61	4	16	16	16	88	83	62	4	4	4	33	7	14
62	4	16	16	16	61	83	56	4	4	4	5	7	4
63	4	16	16	16	62	84	58	4	4	4	6	7	6
64	4	16	16	16	60	85	58	4	4	4	8	7	6
65	4	16	16	16	68	84	56	4	4	4	13	7	4
66	4	16	16	16	67	84	55	4	4	4	11	7	4
67	4	16	16	16	61	80	51	4	4	4	5	6	4
68	4	16	16	16	57	84	77	4	4	4	5	7	25
69	4	16	16	16	57	84	57	4	4	4	5	7	5
70	4	16	16	16	61	84	84	4	4	4	5	7	32
71	3	12	12	12	48	64	50	4	4	4	6	7	12
72	3	12	12	12	69	61	70	4	4	4	28	6	32
73	3	12	12	12	52	60	74	4	4	4	7	6	32
74	3	12	12	12	80	60	99	4	4	4	22	6	32
75	3	12	12	12	72	63	123	4	4	4	24	6	32
76	3	12	12	12	52	60	67	4	4	4	9	6	25
77	3	12	12	12	52	61	74	4	4	4	9	6	32
78	3	12	12	12	110	63	123	4	4	4	33	6	32
79	3	12	12	12	48	59	65	4	4	4	5	6	25
80	4	16	16	16	92	80	84	4	4	4	33	6	32
81	4	16	16	16	71	80	88	4	4	4	12	6	32
82	4	16	16	16	64	81	84	4	4	4	5	6	32
83	4	16	16	16	70	85	84	4	4	4	11	7	32
84	4	16	16	16	86	84	84	4	4	4	27	7	32
85	4	16	16	16	67	84	80	4	4	4	8	7	32
86	4	16	16	16	92	83	83	4	4	4	33	7	32
87	4	16	16	16	64	84	84	4	4	4	5	7	32
88	4	16	16	16	92	82	84	4	4	4	33	7	32
89	4	16	16	16	64	84	76	4	4	4	5	7	32
90	4	16	16	16	67	81	49	4	4	4	8	7	5
91	4	16	16	16	96	80	63	4	4	4	33	6	15
92	4	16	16	16	96	81	49	4	4	4	33	6	4
93	4	16	16	16	78	80	48	4	4	4	15	6	4
94	3	12	12	12	64	60	40	4	4	4	18	6	8
95	3	12	12	12	51	60	36	4	4	4	5	6	4
96	3	12	12	12	80	60	36	4	4	4	33	6	4
97	3	12	12	12	54	60	38	4	4	4	8	6	6
98	3	12	12	12	92	60	40	4	4	4	33	6	5
99	3	12	12	12	98	60	41	4	4	4	33	6	9
100	3	12	12	12	98	62	36	4	4	4	33	6	4
101	3	12	12	12	107	63	37	4	4	4	33	6	5
102	3	12	12	12	88	63	36	4	4	4	24	6	4
103	3	12	12	12	56	58	42	4	4	4	9	6	9
104	3	12	12	12	102	57	36	4	4	4	33	6	4
105	3	12	12	12	106	57	39	4	4	4	33	6	4
106	3	12	12	12	75	59	39	4	4	4	22	6	4
107	3	12	12	12	81	60	39	4	4	4	33	6	4
108	3	12	12	12	108	60	39	4	4	4	33	6	4
109	3	12	12	12	114	60	39	4	4	4	33	6	4
110	3	12	12	12	104	59	39	4	4	4	33	6	4
111	3	12	12	12	69	60	39	4	4	4	26	6	4
112	3	12	12	12	104	60	39	4	4	4	33	6	4
113	3	12	12	12	104	60	39	4	4	4	33	6	4
114	3	12	12	12	64	61	39	4	4	4	20	6	4
115	3	12	12	12	49	60	39	4	4	4	6	6	4
116	4	16	16	16	92	80	52	4	4	4	33	6	4
117	4	16	16	16	92	80	51	4	4	4	33	6	4
118	4	16	16	16	96	80	51	4	4	4	33	6	4
119	4	16	16	16	96	83	49	4	4	4	33	7	4
120	4	16	16	16	96	84	48	4	4	4	33	7	4
121	4	16	16	16	73	83	49	4	4	4	10	7	4
122	4	16	16	16	96	83	51	4	4	4	33	7	4
123	4	16	16	16	96	84	48	4	4	4	33	7	4
124	4	16	16	16	96	80	49	4	4	4	33	6	4
125	3	12	12	12	79	58	39	4	4	4	33	6	4
126	3	12	12	12	67	57	36	4	4	4	24	5	4
127	3	12	12	12	76	57	37	4	4	4	33	5	4
128	3	12	12	12	103	54	35	4	4	4	33	5	4
129	3	12	12	12	104	52	33	4	4	4	33	5	3
130	3	12	12	12	104	52	36	4	4	4	33	5	4
131	3	12	12	12	104	54	36	4	4	4	33	5	4
132	3	12	12	12	104	54	36	4	4	4	33	6	4
133	3	12	12	12	104	55	36	4	4	4	33	6	4
134	3	12	12	12	57	55	36	4	4	4	14	5	4
135	3	12	12	12	104	57	36	4	4	4	34	5	4
136	3	12	12	12	70	55	40	4	4	4	26	5	6
137	3	12	12	12	107	54	51	4	4	4	33	5	15
138	3	12	12	12	79	54	96	4	4	4	33	5	33
139	3	12	12	12	79	54	121	4	4	4	33	5	33
140	3	12	12	12	79	55	94	4	4	4	33	5	33
141	3	12	12	12	78	54	124	4	4	4	33	5	33
142	3	12	12	12	48	54	124	4	4	4	5	5	33
143	3	12	12	12	106	54	124	4	4	4	33	5	33
144	3	12	12	12	78	54	99	4	4	4	33	5	32
145	3	12	12	12	78	56	47	4	4	4	33	5	11
146	3	12	12	12	78	55	38	4	4	4	33	5	5
147	3	12	12	12	107	54	37	4	4	4	33	5	4
148	3	12	12	12	107	56	37	4	4	4	33	5	4
149	3	12	12	12	107	54	37	4	4	4	33	5	4
150	3	12	12	12	107	55	37	4	4	4	33	5	4
151	3	12	12	12	105	54	37	4	4	4	33	5	4
152	3	12	12	12	106	54	37	4	4	4	33	6	4
153	3	12	12	12	84	57	35	4	4	4	33	6	4
154	3	12	12	12	48	54	36	4	4	4	5	6	4
155	3	12	12	12	59	56	37	4	4	4	13	6	4
156	3	12	12	12	106	56	37	4	4	4	33	6	4
157	3	12	12	12	106	54	37	4	4	4	33	6	4
158	3	12	12	12	106	57	37	4	4	4	33	6	4
159	3	12	12	12	105	56	37	4	4	4	33	6	4
160	3	12	12	12	71	57	37	4	4	4	27	6	4
161	3	12	12	12	76	56	37	4	4	4	30	6	4
162	3	12	12	12	66	55	37	4	4	4	21	6	4
163	3	12	12	12	106	55	37	4	4	4	33	6	4
164	3	12	12	12	61	55	37	4	4	4	18	6	4
165	3	12	12	12	103	57	36	4	4	4	33	6	4
166	3	12	12	12	93	56	38	4	4	4	33	6	4
167	3	12	12	12	104	57	38	4	4	4	33	6	4
168	3	12	12	12	104	55	39	4	4	4	33	6	4
169	3	12	12	12	103	56	39	4	4	4	33	6	4
170	3	12	12	12	88	56	39	4	4	4	33	5	4
