Post-processing task	Time[s]	Time x core[s]	Time x core and per verteces[s]	Avg. Time[s]	Avg. Time x core[s]	Avg. Time x core and per verteces[s]	Performed for number of step	Total time
Cell voltage	0.05317091941833496	1.9141530990600586	2.64208796463703e-06	0.05251922186683206	1.8906919872059542	2.6097048071470826e-06	170	8.92826771736145
Times series solutions (pvd)	n/a	n/a	n/a	0.5107728958129882	18.387824249267577	2.5380545144851276e-05	10	5.107728958129883
Depletion saturation	0.39437103271484375	14.197357177734375	1.95964818840064e-05	0.38716680442585666	13.93800495933084	1.9238500395909978e-05	170	65.81835675239563
Plating statistics	0.017521142959594727	0.6307611465454102	8.70633824779547e-07	0.017517217467812932	0.6306198288412656	8.704387652487843e-07	170	2.9779269695281982
Times series interfaces (pvd)	n/a	n/a	n/a	1.1503932237625123	41.41415605545044	5.7163579722769194e-05	10	11.503932237625122
Fields statistics	0.4607961177825928	16.58866024017334	2.2897175566331036e-05	0.4539770757450777	16.343174726822795	2.2558334164023817e-05	170	77.17610287666321
Interfaces statistics	0.035151004791259766	1.2654361724853516	1.7466699413864353e-06	0.035089029985315656	1.2632050794713636	1.7435903841644252e-06	170	5.965135097503662
Fields along direction	0.2698969841003418	9.716291427612305	1.3411307932686397e-05	0.2811975175684149	10.123110632462936	1.3972836749501972e-05	165	46.39759039878845
Interfaces along direction	0.08486008644104004	3.0549631118774414	4.216737560994971e-06	0.08687813932245428	3.127613015608354	4.317015556717329e-06	165	14.334892988204956
Fields distribution	1.161607027053833	41.81785297393799	5.7720798876357674e-05	1.1511567072434858	41.44164146076549	5.720151757560956e-05	165	189.94085669517517
Interface distribution	0.08845210075378418	3.1842756271362305	4.395226439658834e-06	0.08891064614960642	3.200783261385831	4.418011775793606e-06	165	14.670256614685059
